"","URN","LAESTAB","Schoolname","Ofstedphase","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","daysbetween","prev_out","curr_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"60",125651,9373073,"Wellesbourne CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2013-04-12,2,2009-12-08,3,428239,255486,"0","E07000221","E01031253",937,1221,"3","2","1",391,"N","Y",0.0441873662439047,0.955812633756095
"61",125652,9373074,"Wootton Wawen CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-09-11,2,2009-03-02,3,414915,263222,"0","E07000221","E01031204",937,1289,"3","2","1",108,"N","Y",0.0621811903820639,0.937818809617936
"62",125653,9373101,"All Saints CofE Primary School and Nursery, Nuneaton","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2016-03-01,2,2013-10-22,3,436307,290247,"0","E07000219","E01031116",937,861,"3","2","5",244,"N","Y",0.191033213419865,0.808966786580135
"63",125654,9373103,"Abbey CofE Infant School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2014-02-07,1,2009-06-10,2,435670,292417,"0","E07000219","E01031044",937,1703,"2","1","4",210,"Y","Y",0.10097012527212,0.89902987472788
"64",125656,9373106,"St Paul's CofE Primary School, Nuneaton","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2013-11-14,2,2011-11-07,3,433260,291306,"0","E07000219","E01031091",937,738,"3","2","3",447,"N","Y",0.0940390751327617,0.905960924867238
"65",125657,9373141,"Bishops Tachbrook CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2015-01-13,2,2010-01-13,2,431027,261081,"0","E07000222","E01031260",937,1826,"2","2","1",209,"Y","Y",0.0550856201967999,0.9449143798032
"66",125660,9373144,"Cubbington CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2016-12-08,2,2014-09-09,3,434496,268280,"0","E07000222","E01031279",937,821,"3","2","1",199,"N","Y",0.0557526663575117,0.944247333642488
"67",125661,9373146,"St Nicholas CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2015-04-21,2,2011-03-22,2,429019,272174,"0","E07000222","E01031257",937,1491,"2","2","1",407,"Y","Y",0.0433342258969506,0.956665774103049
"68",125662,9373147,"Lapworth CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-03-05,2,2006-11-03,2,418859,271243,"0","E07000222","E01031282",937,1949,"2","2","1",175,"Y","Y",0.0573847074618118,0.942615292538188
"69",125665,9373152,"Radford Semele CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2015-07-08,2,2011-01-27,2,434241,264472,"0","E07000222","E01031302",937,1623,"2","2","2",211,"Y","Y",0.0860375188459142,0.913962481154086
"70",125666,9373154,"All Saints' CofE Junior School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2018-06-18,2,2016-06-03,3,429297,266054,"0","E07000222","E01031310",937,745,"3","2","2",230,"N","Y",0.0841526562954068,0.915847343704593
