"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","IDACI","num_pupils","bad_out_chance","good_out_chance","URN","Schoolname","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","daysbetween"
"141",9375408,"Secondary",407039,263437,"1","E07000221","E01031241",937,"2",770,0.308766319150934,0.691233680849065,136786,"Studley High School","Academy Converter","West Midlands","Warwickshire",2011-12-06,1,2007-05-18,2,1663
"142",9375403,"Secondary",429748,264731,"1","E07000222","E01031315",937,"1",1659,0.298156006933446,0.701843993066554,136907,"Myton School","Academy Converter","West Midlands","Warwickshire",2018-03-19,2,2016-02-08,3,770
"143",9374233,"Secondary",420066,287490,"1","E07000218","E01031022",937,"3",1205,0.411186507936508,0.588813492063492,136986,"The Coleshill School","Academy Converter","West Midlands","Warwickshire",2016-06-13,2,2014-06-25,3,719
"144",9374108,"Secondary",415188,265384,"1","E07000221","E01031202",937,"1",643,0.294940476190476,0.705059523809524,136991,"Henley In Arden School","Academy Converter","West Midlands","Warwickshire",2013-12-18,2,2012-01-31,3,687
"145",9374000,"Secondary",436870,290203,"1","E07000219","E01031117",937,"4",820,0.505218253968254,0.494781746031746,137079,"The George Eliot School","Academy Sponsor Led","West Midlands","Warwickshire",2017-12-12,3,2014-06-24,2,1267
"146",9374240,"Secondary",409853,258044,"1","E07000221","E01031208",937,"2",605,0.353587301587302,0.646412698412698,137172,"Alcester Academy","Academy Converter","West Midlands","Warwickshire",2016-01-04,2,2013-10-15,3,811
"147",9374002,"Secondary",418959,254729,"1","E07000221","E01031233",937,"1",790,0.252145287404903,0.747854712595097,137235,"Stratford Girls' Grammar School","Academy Converter","West Midlands","Warwickshire",2009-03-19,1,2006-03-30,2,1085
"148",9374124,"Secondary",419228,255075,"1","E07000221","E01031232",937,"1",1504,0.287834578362017,0.712165421637983,137236,"Stratford Upon Avon School","Academy Converter","West Midlands","Warwickshire",2016-04-08,2,2014-02-14,3,784
"149",9372000,"Primary",448994,257579,"1","E07000221","E01031197",937,"1",80,0.243770928617372,0.756229071382628,137488,"The Priors School","Free School","West Midlands","Warwickshire",2015-06-08,2,2013-07-26,3,682
"150",9374192,"Secondary",433031,264229,"1","E07000222","E01031328",937,"3",792,0.379420634920635,0.620579365079365,137766,"Campion School","Academy Converter","West Midlands","Warwickshire",2014-12-20,2,2009-12-15,2,1831
"151",9374153,"Secondary",437036,292941,"1","E07000219","E01031112",937,"1",1425,0.204999080526519,0.795000919473481,137767,"Higham Lane School","Academy Converter","West Midlands","Warwickshire",2019-06-13,1,2013-11-06,2,2045
"152",9374190,"Secondary",427320,263602,"1","E07000222","E01033255",937,"2",1063,0.392426767676768,0.607573232323232,137770,"Aylesford School and Sixth Form College","Academy Converter","West Midlands","Warwickshire",2018-05-10,2,2012-10-22,2,2026
"153",9374004,"Secondary",436859,292166,"1","E07000219","E01031102",937,"4",826,0.47484126984127,0.52515873015873,137771,"Etone College","Academy Converter","West Midlands","Warwickshire",2017-03-30,2,2015-03-09,3,752
"154",9375401,"Secondary",433511,284988,"1","E07000219","E01031078",937,"3",985,0.388607142857143,0.611392857142857,137781,"Ash Green School","Academy Converter","West Midlands","Warwickshire",2013-06-10,2,2010-06-08,3,1098
"155",9372424,"Primary",448131,274337,"1","E07000220","E01031127",937,"3",154,0.23022148173464,0.76977851826536,137989,"Henry Hinde Infant School","Academy Converter","West Midlands","Warwickshire",2013-05-09,2,2007-12-12,1,1975
"156",9372003,"Primary",435625,287584,"1","E07000219","E01031109",937,"3",225,0.221443703956862,0.778556296043138,138431,"Race Leys Junior School","Academy Sponsor Led","West Midlands","Warwickshire",2019-03-11,2,2014-07-08,2,1707
"157",9375402,"Secondary",432698,293733,"1","E07000218","E01031030",937,"4",1000,0.538413731245923,0.461586268754077,138644,"Hartshill School","Academy Converter","West Midlands","Warwickshire",2019-11-18,3,2017-05-05,3,927
"158",9374113,"Secondary",425228,240851,"1","E07000221","E01031216",937,"1",554,0.288940476190476,0.711059523809524,138767,"Shipston High School","Academy Converter","West Midlands","Warwickshire",2015-02-27,2,2013-05-02,3,666
"159",9373311,"Primary",411339,270547,"1","E07000221","E01031244",937,"1",253,0.190706323619532,0.809293676380468,138909,"Tanworth-in-Arden CofE Primary School","Academy Converter","West Midlands","Warwickshire",2019-03-04,3,2014-10-01,1,1615
"160",9372010,"Primary",426118,300784,"1","E07000218","E01031026",937,"3",204,0.212554815067973,0.787445184932027,138912,"Dordon Primary School","Academy Sponsor Led","West Midlands","Warwickshire",2014-07-15,2,2012-10-24,3,629
"161",9372006,"Primary",449486,276540,"1","E07000220","E01031171",937,"4",235,0.308986689509752,0.691013310490248,138914,"Riverside Academy","Academy Sponsor Led","West Midlands","Warwickshire",2014-06-09,2,2011-07-07,3,1068
"162",9372008,"Primary",449780,274642,"1","E07000220","E01031167",937,"3",392,0.202193703956862,0.797806296043138,138915,"Oakfield Primary Academy","Academy Sponsor Led","West Midlands","Warwickshire",2016-07-11,2,2014-06-25,3,747
"163",9372619,"Primary",425792,301406,"1","E07000218","E01031026",937,"2",437,0.145919172932331,0.854080827067669,138934,"Birchwood Primary School","Academy Converter","West Midlands","Warwickshire",2014-10-02,1,2011-07-22,2,1168
"164",9372011,"Primary",426737,302612,"1","E07000218","E01031037",937,"2",275,0.135538220551378,0.864461779448622,139127,"The Nethersole CofE Academy","Academy Sponsor Led","West Midlands","Warwickshire",2015-04-24,2,2011-07-12,3,1382
"165",9377002,"Special",436675,290380,"1","E07000219","E01031116",937,"4",127,0.22698088023088,0.77301911976912,139468,"Oak Wood Primary School","Academy Special Converter","West Midlands","Warwickshire",2013-07-19,2,2010-04-19,2,1187
"166",9377046,"Special",436675,290380,"1","E07000219","E01031116",937,"4",153,0.22823088023088,0.77176911976912,139469,"Oak Wood Secondary School","Academy Special Converter","West Midlands","Warwickshire",2013-07-19,2,2010-01-19,2,1277
"167",9373595,"Primary",408990,258091,"1","E07000221","E01031185",937,"3",412,0.225050125313283,0.774949874686717,139518,"St Nicholas CofE Primary","Academy Converter","West Midlands","Warwickshire",2012-04-16,1,2008-12-05,2,1228
"168",9372012,"Primary",429440,289714,"0","E07000218","E01031005",937,"4",222,0.424339206349206,0.575660793650794,139913,"Arley Primary School","Community School","West Midlands","Warwickshire",2019-03-04,2,2016-11-11,3,843
"169",9374003,"Secondary",436815,286996,"1","E07000219","E01031095",937,"3",1218,0.40851746031746,0.59148253968254,139936,"Nicholas Chamberlaine School","Academy Sponsor Led","West Midlands","Warwickshire",2019-12-18,3,2015-07-13,2,1619
"170",9374005,"Secondary",431617,297410,"1","E07000218","E01031013",937,"3",657,0.362559523809524,0.637440476190476,139937,"The Queen Elizabeth Academy","Academy Sponsor Led","West Midlands","Warwickshire",2017-06-07,2,2013-04-15,3,1514
"171",9372015,"Primary",432112,291171,"1","E07000219","E01031090",937,"5",415,0.318240421455939,0.681759578544061,140004,"Park Lane Primary School","Academy Sponsor Led","West Midlands","Warwickshire",2019-11-26,2,2015-09-11,2,1537
"172",9373007,"Primary",429522,306669,"1","E07000218","E01031036",937,"2",90,0.173232664995823,0.826767335004177,140125,"Austrey CofE Primary School","Academy Converter","West Midlands","Warwickshire",2018-04-16,2,2016-04-07,3,739
"173",9373594,"Primary",447555,273947,"1","E07000220","E01032894",937,"1",403,0.181752093383748,0.818247906616252,140127,"Cawston Grange Primary School","Academy Converter","West Midlands","Warwickshire",2014-11-05,2,2012-11-09,2,726
"174",9372059,"Primary",415479,265937,"1","E07000221","E01031203",937,"3",140,0.254388148401306,0.745611851598694,140135,"Henley-In-Arden CofE Primary School","Academy Converter","West Midlands","Warwickshire",2018-11-11,2,2016-03-09,3,977
"175",9373047,"Primary",427929,307430,"1","E07000218","E01031036",937,"2",105,0.153232664995823,0.846767335004177,140139,"Newton Regis CofE Primary School","Academy Converter","West Midlands","Warwickshire",2015-07-17,2,2012-04-23,3,1180
"176",9373072,"Primary",428489,303623,"1","E07000218","E01031035",937,"2",159,0.15789933166249,0.84210066833751,140152,"Warton Nethersole's CofE Primary School","Academy Converter","West Midlands","Warwickshire",2015-07-03,2,2009-12-19,3,2022
"177",9372642,"Primary",427538,298377,"1","E07000218","E01031017",937,"3",201,0.216554815067973,0.783445184932027,140153,"Woodside CofE Primary School","Academy Converter","West Midlands","Warwickshire",2013-03-21,2,2011-02-03,3,777
"178",9372019,"Primary",431339,298103,"1","E07000218","E01031012",937,"3",299,0.217733386496544,0.782266613503456,140198,"Racemeadow Primary Academy","Academy Sponsor Led","West Midlands","Warwickshire",2017-07-17,2,2015-06-26,3,752
"179",9374006,"Secondary",449768,274117,"1","E07000220","E01031176",937,"2",716,0.364595238095238,0.635404761904762,140371,"Harris Church of England Academy","Academy Sponsor Led","West Midlands","Warwickshire",2018-09-20,3,2017-01-18,4,610
"180",9372022,"Primary",447921,274676,"1","E07000220","E01032895",937,"3",241,0.179812447786132,0.820187552213868,140372,"Henry Hinde Junior School","Academy Sponsor Led","West Midlands","Warwickshire",2018-12-11,3,2017-01-25,4,685
