"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"16",9372123,"Primary",438116,289642,"0","E07000219","E01031056",937,"1","2",268,"Y",NA,0.0704627797471045,0.929537220252895
"17",9372307,"Primary",429527,271569,"0","E07000222","E01031307",937,"2","1",173,"Y",NA,0.0669083925389088,0.933091607461091
"18",9372308,"Primary",428217,271250,"0","E07000222","E01031304",937,"1","1",216,"Y",NA,0.0600531395984025,0.939946860401598
"19",9372309,"Primary",430053,272413,"0","E07000222","E01031298",937,"2","1",247,"Y",NA,0.0603025374218085,0.939697462578191
"20",9372312,"Primary",432523,265049,"0","E07000222","E01031337",937,"2","2",226,"Y",NA,0.0812278276912986,0.918772172308701
"21",9372315,"Primary",432824,268281,"0","E07000222","E01031287",937,"3","1",342,"N",NA,0.0527996094080026,0.947200390591997
"22",9372322,"Primary",427943,264762,"0","E07000222","E01031324",937,"2","3",170,"Y",NA,0.160289224287839,0.839710775712162
"23",9372324,"Primary",432406,263882,"0","E07000222","E01031327",937,"2","3",271,"Y",NA,0.12709686993642,0.872903130063581
"24",9372325,"Primary",427299,263876,"0","E07000222","E01033255",937,"2","3",423,"Y",NA,0.123680200178514,0.876319799821486
"25",9372326,"Primary",432969,268238,"0","E07000222","E01031287",937,"2","1",267,"Y",NA,0.0661755316651935,0.933824468334807
"26",9372327,"Primary",432639,263168,"0","E07000222","E01031330",937,"1","1",267,"Y",NA,0.06207284773794,0.93792715226206
"27",9372330,"Primary",430458,266418,"0","E07000222","E01031292",937,"2","1",408,"Y",NA,0.06332652792404,0.93667347207596
"28",9372332,"Primary",429608,265694,"0","E07000222","E01031309",937,"1","2",159,"Y",NA,0.0797715325157705,0.920228467484229
"29",9372405,"Primary",447577,276091,"0","E07000220","E01031165",937,"2","3",492,"Y",NA,0.117722724067297,0.882277275932704
"30",9372410,"Primary",452571,274568,"0","E07000220","E01031158",937,"2","2",174,"Y",NA,0.0941388967858837,0.905861103214116
